participant_id,color_key_mapping
1,rgby
2,rgby
3,rgby
4,rgby
5,rgby
6,rgby
7,rgby
8,rgby
9,gbyr
10,gybr
11,bgry
12,ygbr
13,bryg
14,gryb
15,rgyb
16,ybrg
17,gyrb
18,rbyg
19,byrg
20,rbgy
21,rygb
22,brgy
23,gbry
24,bgyr
25,grby
26,ygrb
27,rybg
28,yrgb
29,yrbg
30,ybgr
31,bygr
32,rgby
33,gbyr
34,gybr
35,bgry
36,ygbr
37,bryg
38,gryb
39,rgyb
40,ybrg
41,gyrb
42,rbyg
43,byrg
44,rbgy
45,rygb
46,brgy
47,gbry
48,bgyr
49,grby
50,ygrb
51,rybg
52,yrgb
53,yrbg
54,ybgr
55,bygr
56,rgby
57,gbyr
58,gybr
59,bgry
60,ygbr
61,bryg
62,gryb
63,rgyb
64,ybrg
65,gyrb
66,rbyg
67,byrg
68,rbgy
69,rygb
70,brgy
71,gbry
72,bgyr
73,grby
74,ygrb
75,rybg
76,yrgb
77,yrbg
78,ybgr
79,bygr
80,rgby
81,gbyr
82,gybr
83,bgry
84,ygbr
85,bryg
86,gryb
87,rgyb
88,ybrg
89,gyrb
90,rbyg
91,byrg
92,rbgy
93,rygb
94,brgy
95,gbry
96,bgyr
97,grby
98,ygrb
99,rybg
100,yrgb
